Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Miton Group Service Company,,Financial institution,EC4M 8AB,"6TH FLOOR, PATERNOSTER HOUSE, LONDON",14/10/2013,FULL,64205 - Activities of financial services holding companies,Borough Academy,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Miton Group Service Company. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Miton Group Service Company who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mitsubishi Ufj Asset Management (Uk),,Financial institution,EC3V 9AJ,"24 LOMBARD STREET, LONDON",20/08/1984,FULL,66300 - Fund management activities,Borough Academy,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Mitsubishi Ufj Asset Management (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mitsubishi Ufj Asset Management (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mitsui & Co. Financial Services (Europe),,Financial institution,EC1A 4AS,"8TH AND 9TH FLOORS, LONDON",27/03/2012,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 18-min walk from Mitsui & Co. Financial Services (Europe). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",295,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mitsui & Co. Financial Services (Europe) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mitsui Bussan Commodities,,Financial institution,EC4M 7DX,"1ST FLOOR WARWICK COURT, LONDON",15/03/2002,GROUP,66120 - Security and commodity contracts dealing activities,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Mitsui Bussan Commodities. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mitsui Bussan Commodities who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mizuho Leasing (Uk),,Financial institution,EC4M 7AU,"MIZUHO HOUSE, LONDON",27/02/1987,FULL,64910 - Financial leasing,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Mizuho Leasing (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mizuho Leasing (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Modulr Fs,,Financial institution,EC1Y 2AL,"THE FEATHERSTONE BUILDING, LONDON",02/12/2015,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Modulr Fs. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Modulr Fs who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Modulr Holdings,,Financial institution,EC1Y 2AL,"THE FEATHERSTONE BUILDING, LONDON",01/12/2015,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Modulr Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Modulr Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mollie Uk,,Financial institution,EC2N 4BQ,"HUCKLETREE BISHOPSGATE 8 BISHOPSGATE, LONDON",30/03/2022,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Mollie Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",243,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mollie Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mondrian Investment Partners,,Accountancy / financial advisory,EC2M 5TQ,"SIXTY LONDON WALL, LONDON",21/08/1990,FULL,70221 - Financial management,Old St - Moreland Primary School,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 24-min walk from Mondrian Investment Partners. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",283,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mondrian Investment Partners who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Monese,,Financial institution,EC1V 1NR,"EAGLE HOUSE, LONDON",07/10/2013,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,9,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 9-min walk from Monese. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 9 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Monese who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
